id,name,type,start_date,distance,moving_time,elapsed_time,average_speed,max_speed,total_elevation_gain,kudos_count,comment_count,gear_id,visibility,location_city,location_state,location_country,start_lat,start_lng,end_lat,end_lng,athlete_id
10292597424,Evening Run,Run,2023-11-27 23:33:30,5159.3000000000002,1709,2147,3.0190000000000001,4.7210000000000001,18.5,1,0,,everyone,,,,33.21218641474843,-87.560694515705109,33.212258415296674,-87.560540707781911,106637626
12281939139,Nostalgic run through napes,Run,2024-08-30 14:12:19,11802.9,3300,3919,3.577,5.5359999999999996,40.399999999999999,2,0,,everyone,,,,41.761388350278139,-88.11085095629096,41.761647183448076,-88.110972158610821,106637626
12348413714,Morning Run,Run,2024-09-07 11:21:44,4996.1000000000004,1404,1466,3.5579999999999998,5.508,20,0,0,,everyone,,,,35.144389104098082,-90.049525648355484,35.144458757713437,-90.049610557034612,106637626
12482639447,Morning Run,Run,2024-09-22 12:02:39,10242.9,2770,2770,3.698,5.7220000000000004,66.200000000000003,0,0,,everyone,,,,35.144427409395576,-89.82484957203269,35.14291187748313,-89.825381822884083,106637626
12482941783,Morning Run,Run,2024-09-23 11:21:14,6811.8999999999996,2014,2041,3.3820000000000001,5.8520000000000003,36,0,0,,everyone,,,,35.144421625882387,-90.049542915076017,35.144135383889079,-90.049145864322782,106637626
12510617413,Afternoon Run,Run,2024-09-26 17:33:39,10483.6,3002,3253,3.492,5.9020000000000001,56.600000000000001,0,0,,everyone,,,,35.144892353564501,-90.05145994015038,35.144138736650348,-90.049195988103747,106637626
12523551067,Ridiculous Run,Run,2024-09-28 10:08:00,25762.400000000001,7620,10182,3.3809999999999998,6.0499999999999998,140,2,0,,everyone,,,,35.14426295645535,-90.04948147572577,35.144156841561198,-90.049144439399242,106637626
12575559037,Afternoon Run,Run,2024-10-04 21:42:23,8221,2400,2894,3.4249999999999998,7.492,42.299999999999997,0,0,,only_me,,,,35.144303608685732,-90.049441326409578,35.144329341128469,-90.049413163214922,106637626
12617124894,Afternoon Run,Run,2024-10-09 21:07:28,6198.6999999999998,1835,2026,3.3780000000000001,8.2460000000000004,35.5,0,0,,only_me,,,,35.144236721098423,-90.049474099650979,35.144359013065696,-90.049643917009234,106637626
12652451602,Morning Run,Run,2024-10-14 11:00:19,12882.9,3710,3741,3.472,5.4580000000000002,71.200000000000003,0,0,,only_me,,,,35.144348619505763,-90.049577783793211,35.144251808524132,-90.049413833767176,106637626
12660511636,Morning Run,Run,2024-10-15 11:21:37,9665.3999999999996,2781,2817,3.476,5.2000000000000002,45.899999999999999,0,0,,only_me,,,,35.144336130470037,-90.049409056082368,35.144179975613952,-90.04924401640892,106637626
12668927667,Morning Run,Run,2024-10-16 11:59:53,4835,1459,1503,3.3140000000000001,5.218,34.299999999999997,0,0,,only_me,,,,35.144325401633978,-90.049526151269674,35.144359096884727,-90.04966520704329,106637626
12692669162,Morning Run,Run,2024-10-19 10:19:32,29200.200000000001,8908,11433,3.278,8.3520000000000003,148.69999999999999,0,0,,only_me,,,,35.144289107993245,-90.049496311694384,35.144512318074703,-90.049675852060318,106637626
12715948311,Morning Run,Run,2024-10-22 10:37:29,8062,2351,2451,3.4289999999999998,5.9260000000000002,42.399999999999999,0,0,,only_me,,,,35.144282318651676,-90.04950494505465,35.144198164343834,-90.049472926184535,106637626
12735829221,Afternoon Run,Run,2024-10-23 21:23:17,3551.0999999999999,1034,75019,3.4340000000000002,4.5999999999999996,33.200000000000003,0,0,,only_me,,,,35.135744000000003,-90.063129000000004,35.135846000000001,-90.063057000000001,106637626
12740516853,Morning Run,Run,2024-10-25 10:49:28,9401.3999999999996,2660,3333,3.5339999999999998,8.6400000000000006,56.200000000000003,0,0,,only_me,,,,35.144286999999998,-90.049446000000003,35.144328999999999,-90.04965,106637626
12759249991,Lunch Run,Run,2024-10-27 15:45:56,5402.3999999999996,1503,1503,3.5939999999999999,5.226,2.3999999999999999,0,0,,only_me,,,,35.161539567634463,-90.054848492145538,35.161668648943305,-90.054292185232043,106637626
12764383868,Morning Run,Run,2024-10-28 10:50:50,11085.5,3200,3665,3.464,6.8739999999999997,83.599999999999994,0,0,,only_me,,,,35.144220627844334,-90.049505447968841,35.144398240372539,-90.049626985564828,106637626
12772429372,Morning Run,Run,2024-10-29 11:07:45,8078.3000000000002,2303,2372,3.508,5.6989999999999998,43,0,0,,only_me,,,,35.144364293664694,-90.049511147662997,35.144383823499084,-90.04953914321959,106637626
12780557735,Morning Run,Run,2024-10-30 11:03:35,4993.3999999999996,1537,1556,3.2490000000000001,8.0099999999999998,20.5,0,0,,only_me,,,,35.144325736910105,-90.04938768222928,35.144400084391236,-90.049578370526433,106637626
12800303216,Evening Run,Run,2024-11-01 22:26:30,6324.1999999999998,1933,2186,3.2719999999999998,5.6200000000000001,37.799999999999997,0,0,,only_me,,,,35.144432999999999,-90.049456000000006,35.144111000000002,-90.049677000000003,106637626
12806590008,Lunch Run,Run,2024-11-02 11:43:59,33799.300000000003,13149,18790,2.5699999999999998,7.5999999999999996,106.59999999999999,0,0,g20229658,only_me,,,,35.144393999999998,-90.049554999999998,35.13111,-90.058980000000005,106637626
12820180135,Morning Run,Run,2024-11-04 12:05:19,4886.3999999999996,1399,1523,3.4929999999999999,6.46,20,0,0,,only_me,,,,35.144306,-90.049552000000006,35.144292999999998,-90.049482999999995,106637626
12828551741,Morning Run,Run,2024-11-05 12:19:20,9560.1000000000004,2721,4590,3.5129999999999999,6.7999999999999998,41.899999999999999,0,0,,everyone,,,,35.144264,-90.049543999999997,35.144269000000001,-90.049670000000006,106637626
12844253241,Morning Run,Run,2024-11-07 12:11:52,9674.5,2584,2750,3.7440000000000002,5.7199999999999998,45.299999999999997,0,0,,everyone,,,,35.144416999999997,-90.049460999999994,35.144236999999997,-90.049424999999999,106637626
12859132694,Morning Run,Run,2024-11-09 12:11:23,6442,2026,2039,3.1800000000000002,5.3799999999999999,38.399999999999999,0,0,,only_me,,,,35.144202,-90.049559000000002,35.144204000000002,-90.049476999999996,106637626
12875006961,Morning Run,Run,2024-11-11 12:14:20,6448.3999999999996,1695,1781,3.8039999999999998,5.1600000000000001,34.700000000000003,0,0,,everyone,,,,35.144444999999997,-90.049591000000007,35.144432999999999,-90.049530000000004,106637626
12891383951,Morning Run,Run,2024-11-13 11:52:11,11299.1,3092,3145,3.6539999999999999,6.5,63.899999999999999,0,0,,everyone,,,,35.144492,-90.049346,35.144365000000001,-90.049728000000002,106637626
12898604490,Morning Run,Run,2024-11-14 11:47:41,10778.700000000001,2933,3355,3.6749999999999998,9.5399999999999991,55.700000000000003,0,0,,everyone,,,,35.144475,-90.049490000000006,35.144382999999998,-90.049621999999999,106637626
12914189478,Morning Run,Run,2024-11-16 11:17:32,32189.599999999999,9202,11509,3.4980000000000002,7.8799999999999999,168.80000000000001,3,2,g20229658,everyone,,,,35.144286000000001,-90.049553000000003,35.144046000000003,-90.049584999999993,106637626
12928616886,Morning Tempo,Run,2024-11-18 11:52:50,9691.7999999999993,2578,2710,3.7589999999999999,6.5,47.200000000000003,0,0,g20229658,everyone,,,,35.144376000000001,-90.049594999999997,35.144275,-90.049484000000007,106637626
12936015414,Morning Run,Run,2024-11-19 11:51:08,9695.2000000000007,2711,2727,3.5760000000000001,5.7400000000000002,52.200000000000003,0,0,g20229658,everyone,,,,35.144446000000002,-90.049539999999993,35.144474000000002,-90.049610999999999,106637626
12943641240,Morning Run,Run,2024-11-20 11:58:34,8380.5,2496,2925,3.3580000000000001,7.5800000000000001,84.900000000000006,0,0,,everyone,,,,35.144277000000002,-90.049576000000002,35.144513000000003,-90.049623999999994,106637626
12951281601,Morning Run,Run,2024-11-21 11:38:06,12887.5,3730,3730,3.4550000000000001,5.9000000000000004,70.5,1,0,g20229658,everyone,,,,35.144466999999999,-90.049582000000001,35.144469999999998,-90.049601999999993,106637626
12958185597,Morning Run,Run,2024-11-22 12:05:24,6018.1999999999998,1811,1844,3.323,7.5599999999999996,24.800000000000001,1,0,,everyone,,,,35.144413999999998,-90.049543999999997,35.144168000000001,-90.049244999999999,106637626
12972260704,Morning Run,Run,2024-11-24 11:20:58,13175.4,3968,3994,3.3199999999999998,7.1799999999999997,54.5,1,0,g20516389,everyone,,,,35.144516000000003,-90.049479000000005,35.154893999999999,-90.072372999999999,106637626
